case,video_id,score_spoof,target_class,frame_position,gradcam_path
real_to_real,CASIA__29_2,0.0044531463645398,0,2,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__29_2_score_0.0045_pos_2_gradcam.jpg
real_to_real,CASIA__29_2,0.0044531463645398,0,5,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__29_2_score_0.0045_pos_5_gradcam.jpg
real_to_real,CASIA__29_2,0.0044531463645398,0,8,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__29_2_score_0.0045_pos_8_gradcam.jpg
real_to_real,CASIA__29_2,0.0044531463645398,0,11,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__29_2_score_0.0045_pos_11_gradcam.jpg
real_to_real,CASIA__29_2,0.0044531463645398,0,14,reports\gradcam_examples\final_model_mixed_multiframe\real_to_real\CASIA__29_2_score_0.0045_pos_14_gradcam.jpg
spoof_to_spoof,AXON__axon_de94e2b0cae648,0.9998996257781982,1,2,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_de94e2b0cae648_score_0.9999_pos_2_gradcam.jpg
spoof_to_spoof,AXON__axon_de94e2b0cae648,0.9998996257781982,1,5,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_de94e2b0cae648_score_0.9999_pos_5_gradcam.jpg
spoof_to_spoof,AXON__axon_de94e2b0cae648,0.9998996257781982,1,8,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_de94e2b0cae648_score_0.9999_pos_8_gradcam.jpg
spoof_to_spoof,AXON__axon_de94e2b0cae648,0.9998996257781982,1,11,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_de94e2b0cae648_score_0.9999_pos_11_gradcam.jpg
spoof_to_spoof,AXON__axon_de94e2b0cae648,0.9998996257781982,1,14,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_de94e2b0cae648_score_0.9999_pos_14_gradcam.jpg
spoof_to_spoof,AXON__axon_4282fff5ee43c5,0.9998899698257446,1,2,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_4282fff5ee43c5_score_0.9999_pos_2_gradcam.jpg
spoof_to_spoof,AXON__axon_4282fff5ee43c5,0.9998899698257446,1,5,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_4282fff5ee43c5_score_0.9999_pos_5_gradcam.jpg
spoof_to_spoof,AXON__axon_4282fff5ee43c5,0.9998899698257446,1,8,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_4282fff5ee43c5_score_0.9999_pos_8_gradcam.jpg
spoof_to_spoof,AXON__axon_4282fff5ee43c5,0.9998899698257446,1,11,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_4282fff5ee43c5_score_0.9999_pos_11_gradcam.jpg
spoof_to_spoof,AXON__axon_4282fff5ee43c5,0.9998899698257446,1,14,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_4282fff5ee43c5_score_0.9999_pos_14_gradcam.jpg
spoof_to_spoof,AXON__axon_3c164830a739b0,0.9998879432678224,1,2,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_3c164830a739b0_score_0.9999_pos_2_gradcam.jpg
spoof_to_spoof,AXON__axon_3c164830a739b0,0.9998879432678224,1,5,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_3c164830a739b0_score_0.9999_pos_5_gradcam.jpg
spoof_to_spoof,AXON__axon_3c164830a739b0,0.9998879432678224,1,8,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_3c164830a739b0_score_0.9999_pos_8_gradcam.jpg
spoof_to_spoof,AXON__axon_3c164830a739b0,0.9998879432678224,1,11,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_3c164830a739b0_score_0.9999_pos_11_gradcam.jpg
spoof_to_spoof,AXON__axon_3c164830a739b0,0.9998879432678224,1,14,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_spoof\AXON__axon_3c164830a739b0_score_0.9999_pos_14_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t01.mp4,0.981843650341034,1,2,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t01.mp4_score_0.9818_pos_2_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t01.mp4,0.981843650341034,1,5,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t01.mp4_score_0.9818_pos_5_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t01.mp4,0.981843650341034,1,8,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t01.mp4_score_0.9818_pos_8_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t01.mp4,0.981843650341034,1,11,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t01.mp4_score_0.9818_pos_11_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t01.mp4,0.981843650341034,1,14,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t01.mp4_score_0.9818_pos_14_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t02.mp4,0.963926076889038,1,2,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t02.mp4_score_0.9639_pos_2_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t02.mp4,0.963926076889038,1,5,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t02.mp4_score_0.9639_pos_5_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t02.mp4,0.963926076889038,1,8,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t02.mp4_score_0.9639_pos_8_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t02.mp4,0.963926076889038,1,11,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t02.mp4_score_0.9639_pos_11_gradcam.jpg
real_to_spoof,LOCAL_REAL__p14_samsung_normal_t02.mp4,0.963926076889038,1,14,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p14_samsung_normal_t02.mp4_score_0.9639_pos_14_gradcam.jpg
real_to_spoof,LOCAL_REAL__p13_samsung_normal_t01.mp4,0.9492909908294678,1,2,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p13_samsung_normal_t01.mp4_score_0.9493_pos_2_gradcam.jpg
real_to_spoof,LOCAL_REAL__p13_samsung_normal_t01.mp4,0.9492909908294678,1,5,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p13_samsung_normal_t01.mp4_score_0.9493_pos_5_gradcam.jpg
real_to_spoof,LOCAL_REAL__p13_samsung_normal_t01.mp4,0.9492909908294678,1,8,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p13_samsung_normal_t01.mp4_score_0.9493_pos_8_gradcam.jpg
real_to_spoof,LOCAL_REAL__p13_samsung_normal_t01.mp4,0.9492909908294678,1,11,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p13_samsung_normal_t01.mp4_score_0.9493_pos_11_gradcam.jpg
real_to_spoof,LOCAL_REAL__p13_samsung_normal_t01.mp4,0.9492909908294678,1,14,reports\gradcam_examples\final_model_mixed_multiframe\real_to_spoof\LOCAL_REAL__p13_samsung_normal_t01.mp4_score_0.9493_pos_14_gradcam.jpg
spoof_to_real,CASIA__13_3,0.0702076852321624,0,2,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_3_score_0.0702_pos_2_gradcam.jpg
spoof_to_real,CASIA__13_3,0.0702076852321624,0,5,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_3_score_0.0702_pos_5_gradcam.jpg
spoof_to_real,CASIA__13_3,0.0702076852321624,0,8,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_3_score_0.0702_pos_8_gradcam.jpg
spoof_to_real,CASIA__13_3,0.0702076852321624,0,11,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_3_score_0.0702_pos_11_gradcam.jpg
spoof_to_real,CASIA__13_3,0.0702076852321624,0,14,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_3_score_0.0702_pos_14_gradcam.jpg
spoof_to_real,AXON__axon_e2a1edb3427e34,0.1265186965465545,0,2,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\AXON__axon_e2a1edb3427e34_score_0.1265_pos_2_gradcam.jpg
spoof_to_real,AXON__axon_e2a1edb3427e34,0.1265186965465545,0,5,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\AXON__axon_e2a1edb3427e34_score_0.1265_pos_5_gradcam.jpg
spoof_to_real,AXON__axon_e2a1edb3427e34,0.1265186965465545,0,8,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\AXON__axon_e2a1edb3427e34_score_0.1265_pos_8_gradcam.jpg
spoof_to_real,AXON__axon_e2a1edb3427e34,0.1265186965465545,0,11,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\AXON__axon_e2a1edb3427e34_score_0.1265_pos_11_gradcam.jpg
spoof_to_real,AXON__axon_e2a1edb3427e34,0.1265186965465545,0,14,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\AXON__axon_e2a1edb3427e34_score_0.1265_pos_14_gradcam.jpg
spoof_to_real,CASIA__13_8,0.2972046434879303,0,2,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_8_score_0.2972_pos_2_gradcam.jpg
spoof_to_real,CASIA__13_8,0.2972046434879303,0,5,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_8_score_0.2972_pos_5_gradcam.jpg
spoof_to_real,CASIA__13_8,0.2972046434879303,0,8,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_8_score_0.2972_pos_8_gradcam.jpg
spoof_to_real,CASIA__13_8,0.2972046434879303,0,11,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_8_score_0.2972_pos_11_gradcam.jpg
spoof_to_real,CASIA__13_8,0.2972046434879303,0,14,reports\gradcam_examples\final_model_mixed_multiframe\spoof_to_real\CASIA__13_8_score_0.2972_pos_14_gradcam.jpg
